HCPCS,MOD,MOD2,CATG,ALNR,ALR,ARNR,ARR,AZNR,AZR,CANR,CAR,CONR,COR,CTNR,CTR,DCNR,DCR,DENR,DER,FLNR,FLR,GANR,GAR,IANR,IAR,IDNR,IDR,ILNR,ILR,INNR,INR,KSNR,KSR,KYNR,KYR,LANR,LAR,MANR,MAR,MDNR,MDR,MENR,MER,MINR,MIR,MNNR,MNR,MONR,MOR,MSNR,MSR,MTNR,MTR,NCNR,NCR,NDNR,NDR,NENR,NER,NHNR,NHR,NJNR,NJR,NMNR,NMR,NVNR,NVR,NYNR,NYR,OHNR,OHR,OKNR,OKR,ORNR,ORR,PANR,PAR,RINR,RIR,SCNR,SCR,SDNR,SDR,TNNR,TNR,TXNR,TXR,UTNR,UTR,VANR,VAR,VTNR,VTR,WANR,WAR,WINR,WIR,WVNR,WVR,WYNR,WYR,AKNR,AKR,HINR,HIR,PRNR,PRR,VINR,VIR,PEN,FROMDATE,TODATE
A4236,NU, ,IN,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0,1.16,0, ,7/01/2021,9/30/2021
A4253,NU, ,IN,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0,8.32,0, ,7/01/2021,9/30/2021
A4255, , ,SU,4.79,0,4.79,0,4.79,0,4.79,0,4.79,0,4.55,0,4.55,0,4.55,0,4.55,0,4.7,0,4.79,0,4.79,0,4.55,0,4.79,0,4.79,0,4.79,0,4.79,0,4.55,0,4.55,0,4.55,0,4.7,0,4.79,0,4.79,0,4.79,0,4.79,0,4.65,0,4.79,0,4.79,0,4.55,0,4.55,0,4.79,0,4.79,0,4.55,0,4.55,0,4.79,0,4.79,0,4.55,0,4.55,0,4.79,0,4.79,0,4.79,0,4.55,0,4.79,0,4.55,0,4.55,0,4.79,0,4.79,0,4.55,0,4.79,0,4.91,0,5.28,0,4.99,0,4.79,0, ,7/01/2021,9/30/2021
A4256, , ,SU,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0,3.38,0, ,7/01/2021,9/30/2021
A4257, , ,SU,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,14.85,0,17.83,0,14.85,0, ,7/01/2021,9/30/2021
A4258, , ,SU,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0, ,7/01/2021,9/30/2021
A4259, , ,SU,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0,1.42,0, ,7/01/2021,9/30/2021
A4265, , ,SU,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,3.97,0,4.7,0,3.97,0, ,7/01/2021,9/30/2021
A4280, , ,PO,6.22,0,6.22,0,6.03,0,6.03,0,6.23,0,6.35,0,6.03,0,6.03,0,6.22,0,6.22,0,6.15,0,6.03,0,6.2,0,6.2,0,6.15,0,6.22,0,6.22,0,6.35,0,6.03,0,6.35,0,6.2,0,6.2,0,6.15,0,6.22,0,6.23,0,6.22,0,6.23,0,6.15,0,6.35,0,6.15,0,6.22,0,6.03,0,6.15,0,6.2,0,6.22,0,6.03,0,6.03,0,6.35,0,6.22,0,6.23,0,6.22,0,6.22,0,6.23,0,6.03,0,6.35,0,6.03,0,6.2,0,6.03,0,6.23,0,6.09,0,6.54,0,6.63,0,6.63,0, ,7/01/2021,9/30/2021
A4310, , ,OS,8.12,0,7.9,0,8.97,0,8.99,0,8.99,0,8.99,0,8.33,0,8.33,0,7.64,0,8.07,0,8.99,0,7.64,0,8.99,0,8.99,0,8.6,0,7.9,0,8.92,0,8.99,0,8.33,0,8.99,0,8.99,0,8.99,0,8.99,0,7.64,0,8.14,0,7.64,0,8.99,0,8.33,0,8.99,0,8.33,0,8.99,0,8.99,0,8.99,0,8.99,0,8.99,0,7.64,0,8.33,0,8.99,0,7.64,0,8.99,0,8.57,0,7.64,0,7.64,0,8.99,0,8.99,0,8.99,0,8.99,0,8.99,0,8.99,0,10.99,0,11.77,0,20.61,0,8.99,0, ,7/01/2021,9/30/2021
A4311, , ,OS,17.24,0,17.24,0,17.07,0,17.24,0,15.28,0,16.19,0,14.65,0,14.65,0,14.65,0,17.24,0,14.65,0,14.65,0,17.24,0,17.24,0,14.65,0,17.24,0,17.24,0,16.26,0,14.65,0,16.26,0,17.24,0,17.24,0,14.65,0,17.24,0,17.24,0,17.24,0,17.24,0,14.95,0,15.48,0,14.65,0,17.24,0,17.24,0,15.76,0,17.24,0,17.24,0,14.65,0,14.65,0,14.65,0,17.24,0,17.24,0,16.6,0,14.98,0,17.24,0,14.65,0,16.1,0,17.24,0,17.24,0,17.24,0,17.24,0,21.42,0,22.87,0,13.11,0,15.76,0, ,7/01/2021,9/30/2021
A4312, , ,OS,18.1,0,21,0,21,0,21,0,17.85,0,17.85,0,17.85,0,17.85,0,21,0,17.85,0,21,0,17.85,0,21,0,21,0,21,0,20.59,0,21,0,17.85,0,17.85,0,17.85,0,21,0,21,0,21,0,21,0,19.37,0,21,0,18.68,0,21,0,17.85,0,17.85,0,21,0,21,0,17.85,0,21,0,21,0,17.85,0,17.85,0,17.85,0,21,0,18.68,0,21,0,21,0,21,0,17.85,0,17.85,0,19.97,0,21,0,21,0,19.13,0,27.26,0,29.15,0,29.89,0,17.85,0, ,7/01/2021,9/30/2021
A4313, , ,OS,18.33,0,21.54,0,21.56,0,21.56,0,18.33,0,21.56,0,21.14,0,21.14,0,18.33,0,18.33,0,21.56,0,18.33,0,21.56,0,21.56,0,21.56,0,21.56,0,21.56,0,18.33,0,18.33,0,18.33,0,18.33,0,21.56,0,21.56,0,21.56,0,19.37,0,21.56,0,18.68,0,21.56,0,18.33,0,21.14,0,21.56,0,21.56,0,21.56,0,21.56,0,21.56,0,18.33,0,21.14,0,18.33,0,21.56,0,18.68,0,21.56,0,21.56,0,21.56,0,18.33,0,18.33,0,19.97,0,21.56,0,21.56,0,19.13,0,30.94,0,33.08,0,21.7,0,21.56,0, ,7/01/2021,9/30/2021
A4314, , ,OS,25.38,0,29.43,0,25.02,0,29.43,0,29.43,0,29.43,0,27.94,0,27.94,0,25.02,0,27.16,0,29.43,0,25.02,0,29.43,0,29.43,0,29.43,0,29.43,0,29.43,0,25.02,0,25.02,0,25.02,0,29.43,0,29.43,0,29.43,0,25.02,0,26.81,0,29.43,0,29.43,0,29.43,0,25.02,0,27.94,0,27.37,0,25.02,0,28.39,0,29.43,0,28.52,0,25.02,0,27.94,0,25.02,0,29.43,0,29.43,0,28.29,0,29.43,0,29.43,0,25.02,0,25.02,0,29.43,0,29.43,0,29.43,0,29.43,0,31.91,0,34.12,0,29.89,0,28.39,0, ,7/01/2021,9/30/2021
A4315, , ,OS,26.1,0,29.48,0,30.7,0,30.7,0,30.7,0,26.1,0,30.04,0,30.04,0,26.1,0,26.1,0,30.7,0,26.1,0,30.7,0,30.7,0,30.7,0,30.7,0,29.43,0,26.1,0,26.1,0,26.1,0,30.7,0,30.7,0,30.7,0,30.7,0,26.81,0,30.7,0,30.7,0,30.7,0,26.1,0,30.04,0,27.37,0,30.7,0,30.7,0,30.7,0,28.52,0,26.1,0,30.04,0,26.1,0,30.7,0,30.7,0,30.7,0,29.93,0,30.7,0,26.1,0,26.1,0,30.7,0,30.7,0,30.7,0,30.25,0,36.94,0,39.51,0,29.89,0,30.7,0, ,7/01/2021,9/30/2021
A4316, , ,OS,28.1,0,29.48,0,33.06,0,33.06,0,33.06,0,28.1,0,31.37,0,31.37,0,28.1,0,33.06,0,33.06,0,28.1,0,33.06,0,33.06,0,32.77,0,33.06,0,29.43,0,33.06,0,28.1,0,33.06,0,33.06,0,33.06,0,33.06,0,33.06,0,28.1,0,33.06,0,31.88,0,32.77,0,32.3,0,31.37,0,28.1,0,33.06,0,33.06,0,33.06,0,28.52,0,28.1,0,31.37,0,30.38,0,31.91,0,31.88,0,33.06,0,33.06,0,33.06,0,28.1,0,33.06,0,33.06,0,33.06,0,33.06,0,30.25,0,36.94,0,39.51,0,29.89,0,33.06,0, ,7/01/2021,9/30/2021
A4320, , ,OS,6.22,0,6.22,0,6.12,0,5.29,0,6.15,0,6.22,0,5.85,0,5.85,0,6.22,0,5.5,0,5.53,0,6.22,0,5.79,0,6.07,0,6.01,0,6.22,0,6.22,0,6.22,0,6.22,0,6.22,0,5.73,0,6.22,0,5.81,0,5.29,0,5.51,0,5.29,0,6.22,0,6.01,0,6.22,0,5.85,0,6.22,0,6.22,0,5.68,0,5.54,0,6.22,0,6.22,0,5.85,0,6.22,0,6.22,0,6.22,0,5.32,0,5.29,0,5.89,0,6.22,0,6.22,0,6.22,0,6.22,0,5.54,0,6.22,0,5.19,0,5.55,0,6.88,0,5.68,0, ,7/01/2021,9/30/2021
A4321, , ,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,7/01/2021,9/30/2021
A4322, , ,OS,3.55,0,3.53,0,3.55,0,3.55,0,3.54,0,3.55,0,3.44,0,3.44,0,3.28,0,3.46,0,3.55,0,3.09,0,3.28,0,3.5,0,3.55,0,3.5,0,3.55,0,3.55,0,3.55,0,3.55,0,3.55,0,3.53,0,3.55,0,3.53,0,3.55,0,3.43,0,3.55,0,3.55,0,3.55,0,3.44,0,3.52,0,3.55,0,3.55,0,3.39,0,3.5,0,3.2,0,3.44,0,3.55,0,3.5,0,3.55,0,3.55,0,3.28,0,3.11,0,3.28,0,3.55,0,3.55,0,3.55,0,3.39,0,3.55,0,4.23,0,4.55,0,3.63,0,3.55,0, ,7/01/2021,9/30/2021
A4326, , ,OS,12.56,0,12.56,0,12.56,0,10.88,0,11.35,0,12.07,0,12.56,0,12.56,0,12.56,0,12.56,0,11.07,0,12.56,0,12.07,0,12.56,0,10.68,0,12.56,0,12.56,0,12.07,0,12.56,0,12.07,0,10.89,0,12.56,0,10.68,0,12.56,0,11.35,0,12.56,0,11.35,0,11.07,0,12.07,0,12.56,0,12.56,0,12.56,0,10.68,0,12.07,0,12.56,0,12.07,0,12.56,0,12.07,0,12.56,0,11.35,0,12.56,0,12.56,0,11.35,0,12.56,0,12.07,0,12.56,0,10.89,0,12.07,0,11.35,0,10.98,0,11.76,0,13.28,0,12.56,0, ,7/01/2021,9/30/2021
A4327, , ,OS,51.92,0,51.92,0,49.2,0,51.92,0,51.92,0,49.2,0,49.2,0,49.2,0,49.2,0,51.92,0,51.92,0,51.92,0,51.92,0,51.92,0,51.92,0,51.92,0,51.92,0,49.2,0,49.2,0,49.2,0,51.92,0,51.92,0,51.76,0,51.92,0,51.92,0,51.92,0,51.92,0,51.92,0,49.2,0,49.2,0,51.91,0,49.2,0,49.2,0,49.2,0,51.92,0,51.92,0,49.2,0,49.2,0,51.92,0,51.92,0,51.67,0,51.92,0,51.92,0,49.2,0,49.2,0,49.2,0,51.67,0,49.2,0,51.92,0,60.27,0,64.46,0,54.12,0,51.92,0, ,7/01/2021,9/30/2021
A4328, , ,OS,12.15,0,11.78,0,12.15,0,12.15,0,12.15,0,10.33,0,12.15,0,12.15,0,11.48,0,11.91,0,12.15,0,11.5,0,12.15,0,12.15,0,11.35,0,12.05,0,11.78,0,10.33,0,12.15,0,10.33,0,12.11,0,11.78,0,12.15,0,12.15,0,12.15,0,11.94,0,12.15,0,11.35,0,10.33,0,12.15,0,12.15,0,12.15,0,12.15,0,11.03,0,12.15,0,11.5,0,12.15,0,11.48,0,12.05,0,12.15,0,11.47,0,10.33,0,12.15,0,11.48,0,10.33,0,12.15,0,12.15,0,11.78,0,12.15,0,12.64,0,13.54,0,12.61,0,12.15,0, ,7/01/2021,9/30/2021
A4330, , ,OS,8.34,0,7.61,0,8.34,0,8.03,0,8.34,0,8.34,0,8.34,0,8.34,0,8.34,0,8.34,0,8.34,0,8.06,0,8.06,0,7.09,0,8.34,0,8.34,0,7.61,0,8.34,0,8.06,0,8.34,0,8.34,0,7.93,0,8.34,0,7.09,0,7.09,0,8.31,0,8.34,0,8.34,0,8.34,0,8.34,0,7.09,0,8.34,0,7.09,0,7.09,0,7.09,0,8.06,0,8.34,0,7.9,0,8.33,0,8.34,0,7.09,0,8.25,0,7.09,0,7.09,0,8.34,0,8.34,0,8.25,0,7.09,0,8.34,0,8.13,0,8.65,0,1.44,0,7.09,0, ,7/01/2021,9/30/2021
