HCPCS,MOD,MOD2,CATG,ALNR,ALR,ARNR,ARR,AZNR,AZR,CANR,CAR,CONR,COR,CTNR,CTR,DCNR,DCR,DENR,DER,FLNR,FLR,GANR,GAR,IANR,IAR,IDNR,IDR,ILNR,ILR,INNR,INR,KSNR,KSR,KYNR,KYR,LANR,LAR,MANR,MAR,MDNR,MDR,MENR,MER,MINR,MIR,MNNR,MNR,MONR,MOR,MSNR,MSR,MTNR,MTR,NCNR,NCR,NDNR,NDR,NENR,NER,NHNR,NHR,NJNR,NJR,NMNR,NMR,NVNR,NVR,NYNR,NYR,OHNR,OHR,OKNR,OKR,ORNR,ORR,PANR,PAR,RINR,RIR,SCNR,SCR,SDNR,SDR,TNNR,TNR,TXNR,TXR,UTNR,UTR,VANR,VAR,VTNR,VTR,WANR,WAR,WINR,WIR,WVNR,WVR,WYNR,WYR,AKNR,AKR,HINR,HIR,PRNR,PRR,VINR,VIR,PEN,FROMDATE,TODATE 
E0325,RR, ,IN,1.03,1.25,1.1,1.38,1.14,1.38,1.07,1.38,1.03,1.25,1.1,1.26,1.12,1.38,1.12,1.38,1.03,1.25,1.03,1.25,1.08,1.25,1.1,1.38,1.12,1.38,1.06,1.25,1.14,1.38,1.1,1.38,1.1,1.38,1.16,1.38,1.12,1.38,1.16,1.38,1.06,1.25,1.14,1.38,1.14,1.38,1.03,1.25,1.1,1.38,1.03,1.25,1.08,1.25,1.14,1.38,1.16,1.38,1.12,1.38,1.08,1.25,1.07,1.38,1.05,1.25,1.06,1.25,1.14,1.38,1.07,1.38,1.12,1.38,1.1,1.25,1.03,1.25,1.08,1.25,1.03,1.25,1.14,1.38,1.03,1.25,1.1,1.38,1.1,1.26,1.07,1.38,1.06,1.25,1.03,1.25,1.03,1.25,2.82,0,3,0,1.33,0,1.25,0, ,7/01/2021,9/30/2021
E0325,UE, ,IN,6.67,6.91,6.89,7.62,6.62,6.62,6.45,7.01,6.59,6.62,7.34,7.62,7.03,7.62,7.03,7.62,6.89,7.62,6.6,6.62,6.62,6.62,6.88,7.62,6.91,7.23,6.62,6.62,7.22,7.62,6.89,7.62,6.89,7.62,7.34,7.62,7.03,7.62,7.34,7.62,6.62,6.62,7.22,7.62,7.22,7.62,6.89,7.62,6.88,7.62,6.6,6.62,6.91,6.91,7.22,7.62,7.34,7.62,6.88,7.18,7.22,7.62,6.35,6.62,6.62,6.62,6.62,6.62,7.22,7.62,6.65,7.62,7.03,7.62,6.62,6.62,6.6,6.62,6.62,6.62,6.6,6.62,7.22,7.62,6.59,6.62,6.89,7.62,6.62,6.62,6.35,6.62,7.05,7.62,6.6,6.62,6.67,6.91,7.08,0,7.53,0,8.63,0,6.62,0, ,7/01/2021,9/30/2021
E0326,NU, ,IN,9.69,10.55,10.11,11.43,9.95,10.7,10.5,11.43,9.7,10.38,10.8,11.43,10.16,11.1,10.16,11.1,10.11,11.43,9.74,10.69,9.67,10.38,9.9,10.91,10.4,11.24,10.04,10.38,10.13,11.43,10.11,11.43,10.11,11.43,10.8,11.43,10.33,11.43,10.8,11.43,10.04,10.38,9.67,10.38,9.67,10.38,10.11,11.43,9.7,10.38,9.65,10.38,10.13,11.43,10.13,11.43,10.8,11.43,10.33,11.43,9.86,10.38,10.04,10.38,10.05,10.89,10.5,11.43,9.86,10.38,10.04,10.38,10.16,11.1,10.8,11.43,9.78,10.78,10.13,11.43,9.65,10.38,10.32,11.43,10.16,11.43,10.11,11.43,10.34,10.38,10.5,11.43,10.5,11.43,10.11,11.43,10.16,11.43,15.6,0,16.26,0,9.23,0,11.12,0, ,7/01/2021,9/30/2021
E0326,RR, ,IN,1.05,1.22,1.03,1.18,1.07,1.22,1.09,1.22,1,1.12,1.12,1.22,1.07,1.22,1.07,1.22,1.05,1.22,1,1.12,1,1.12,1,1.12,1.05,1.14,1.04,1.12,1.05,1.22,1.05,1.22,1.04,1.2,1.12,1.22,1.07,1.22,1.12,1.22,1.04,1.12,1,1.12,1,1.12,1.02,1.15,1,1.12,1,1.12,1.05,1.22,1.05,1.22,1.12,1.22,1.07,1.22,1.02,1.12,1.09,1.22,1.02,1.12,1.05,1.15,1.02,1.12,1.04,1.12,1.07,1.22,1.12,1.22,1,1.12,1.05,1.22,1,1.12,1.07,1.22,1.03,1.18,1.05,1.22,1.12,1.22,1.04,1.12,1.09,1.22,1.02,1.15,1.06,1.22,4.75,0,5.03,0,1.18,0,1.17,0, ,7/01/2021,9/30/2021
E0326,UE, ,IN,7.31,8.03,7.59,8.58,7.47,8.03,7.88,8.58,7.28,7.79,8.1,8.58,7.61,8.31,7.61,8.3,7.59,8.58,7.3,8.02,7.26,7.79,7.42,8.17,7.81,8.45,7.53,7.79,7.6,8.58,7.59,8.58,7.59,8.58,8.1,8.58,7.75,8.58,8.1,8.58,7.53,7.79,7.26,7.79,7.26,7.79,7.59,8.58,7.28,7.79,7.24,7.79,7.6,8.58,7.6,8.58,8.1,8.58,7.75,8.58,7.4,7.79,7.53,7.79,7.54,8.16,7.88,8.58,7.4,7.79,7.53,7.79,7.61,8.31,8.1,8.58,7.34,8.09,7.6,8.58,7.24,7.79,7.74,8.58,7.63,8.58,7.59,8.58,7.76,7.79,7.88,8.58,7.88,8.58,7.59,8.58,7.63,8.58,11.82,0,12.32,0,6.9,0,8.34,0, ,7/01/2021,9/30/2021
E0371,RR, ,CR,259.74,323.18,262.07,327.83,257.1,311.8,217.28,317.27,261.12,327.83,251.88,327.83,243.09,327.83,240.43,322.49,252.63,308.96,258.72,321.13,264.63,327.83,261.12,327.83,249.18,327.83,249.18,327.83,264.63,327.83,262.07,327.83,260.09,323.87,251.88,327.83,236.77,315.19,251.88,327.83,244.31,318.1,264.63,327.83,264.63,327.83,250.48,304.66,250.16,305.91,262.07,327.83,253.52,305.62,264.63,327.83,251.88,327.83,236.23,314.09,252.17,301.96,217.05,316.8,239.71,321.07,249.18,327.83,265.11,327.83,222.56,327.83,238.45,318.53,235.16,294.38,257.94,319.57,262.47,323.52,255.09,313.87,265.11,327.83,261.12,327.83,255.84,315.37,251.88,327.83,222.56,327.83,249.18,327.83,258.3,320.3,258.63,322.85,360.75,0,331.43,0,366.27,0,327.77,0, ,7/01/2021,9/30/2021
E0372,RR, ,CR,283.05,369.9,285.86,375.52,279.17,356.07,239.95,362.71,284.91,375.52,275.67,375.52,266.89,375.52,263.66,369.07,274.41,352.63,281.8,367.4,289.5,375.52,284.91,375.52,272.97,375.52,272.97,375.52,289.5,375.52,285.86,375.52,283.47,370.74,275.67,375.52,259.22,360.19,275.67,375.52,267.06,363.71,289.5,375.52,289.5,375.52,271.81,347.42,271.62,348.93,285.86,375.52,276.04,348.59,289.5,375.52,275.67,375.52,258.55,358.85,273.2,344.13,239.66,362.14,262.79,367.33,272.97,375.52,288.9,375.52,246.35,375.52,261.26,364.26,255.38,334.94,280.85,365.51,286.89,370.3,277.4,358.61,288.9,375.52,284.91,375.52,278.3,360.41,275.67,375.52,246.35,375.52,272.97,375.52,281.29,366.39,281.89,369.48,415.47,0,379.87,0,422.18,0,375.45,0, ,7/01/2021,9/30/2021
E0373,RR, ,CR,302.32,408.45,304.71,413.22,297.45,392.63,258.7,400.23,303.76,413.22,294.52,413.22,285.73,413.22,282.88,407.5,292.43,388.67,300.89,405.58,308.35,413.22,303.76,413.22,291.82,413.22,291.82,413.22,308.35,413.22,304.71,413.22,302.8,409.42,294.52,413.22,277.79,397.33,294.52,413.22,285.89,401.37,308.35,413.22,308.35,413.22,289.44,382.69,289.37,384.44,304.71,413.22,293.75,384.02,308.35,413.22,294.52,413.22,277.03,395.81,290.61,378.95,258.38,399.57,281.88,405.51,291.82,413.22,307.75,413.22,265.2,413.22,280.12,402,271.4,366.98,299.81,403.43,306.19,408.9,295.86,395.53,307.75,413.22,303.76,413.22,296.88,397.57,294.52,413.22,265.2,413.22,291.82,413.22,300.31,404.42,301.14,407.98,457.12,0,396.57,0,468.34,0,413.14,0, ,7/01/2021,9/30/2021
E0424,RR, ,OX,110.09,143.69,110.09,143.69,108.87,143.69,106.72,143.69,110.64,143.69,109.69,143.69,107.81,143.69,107.81,143.69,110.09,143.69,110.09,143.69,110.07,143.69,110.64,143.69,109.56,143.69,109.56,143.69,110.07,143.69,110.09,143.69,110.09,143.69,109.69,143.69,107.81,143.69,109.69,143.69,109.56,143.69,110.07,143.69,110.07,143.69,110.09,143.69,110.64,143.69,110.09,143.69,110.07,143.69,110.07,143.69,109.69,143.69,107.81,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.56,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.69,143.69,110.09,143.69,110.07,143.69,110.09,143.69,108.87,143.69,110.64,143.69,110.09,143.69,109.69,143.69,106.72,143.69,109.56,143.69,110.09,143.69,110.64,143.69,140.88,0,140.88,0,140.88,0,140.88,0, ,7/01/2021,9/30/2021
E0424,RR,QB,OX,110.09,143.69,110.09,143.69,108.87,143.69,106.72,143.69,110.64,143.69,109.69,143.69,107.81,143.69,107.81,143.69,110.09,143.69,110.09,143.69,110.07,143.69,110.64,143.69,109.56,143.69,109.56,143.69,110.07,143.69,110.09,143.69,110.09,143.69,109.69,143.69,107.81,143.69,109.69,143.69,109.56,143.69,110.07,143.69,110.07,143.69,110.09,143.69,110.64,143.69,110.09,143.69,110.07,143.69,110.07,143.69,109.69,143.69,107.81,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.56,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.69,143.69,110.09,143.69,110.07,143.69,110.09,143.69,108.87,143.69,110.64,143.69,110.09,143.69,109.69,143.69,106.72,143.69,109.56,143.69,110.09,143.69,110.64,143.69,140.88,0,140.88,0,140.88,0,140.88,0, ,7/01/2021,9/30/2021
E0424,RR,QF,OX,110.09,143.69,110.09,143.69,108.87,143.69,106.72,143.69,110.64,143.69,109.69,143.69,107.81,143.69,107.81,143.69,110.09,143.69,110.09,143.69,110.07,143.69,110.64,143.69,109.56,143.69,109.56,143.69,110.07,143.69,110.09,143.69,110.09,143.69,109.69,143.69,107.81,143.69,109.69,143.69,109.56,143.69,110.07,143.69,110.07,143.69,110.09,143.69,110.64,143.69,110.09,143.69,110.07,143.69,110.07,143.69,109.69,143.69,107.81,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.56,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.69,143.69,110.09,143.69,110.07,143.69,110.09,143.69,108.87,143.69,110.64,143.69,110.09,143.69,109.69,143.69,106.72,143.69,109.56,143.69,110.09,143.69,110.64,143.69,140.88,0,140.88,0,140.88,0,140.88,0, ,7/01/2021,9/30/2021
E0431,RR, ,OX,21.23,25.67,21.23,25.67,21.21,25.67,21.07,25.67,21.7,25.67,21.2,25.67,20.69,25.67,20.69,25.67,21.23,25.67,21.23,25.67,21.54,25.67,21.7,25.67,21.21,25.67,21.21,25.67,21.54,25.67,21.23,25.67,21.23,25.67,21.2,25.67,20.69,25.67,21.2,25.67,21.21,25.67,21.54,25.67,21.54,25.67,21.23,25.67,21.7,25.67,21.23,25.67,21.54,25.67,21.54,25.67,21.2,25.67,20.69,25.67,21.21,25.67,21.07,25.67,20.69,25.67,21.21,25.67,21.21,25.67,21.07,25.67,20.69,25.67,21.2,25.67,21.23,25.67,21.54,25.67,21.23,25.67,21.21,25.67,21.7,25.67,21.23,25.67,21.2,25.67,21.07,25.67,21.21,25.67,21.23,25.67,21.7,25.67,25.04,0,25.04,0,25.04,0,25.04,0, ,7/01/2021,9/30/2021
E0431,RR,QB,OX,55.05,71.85,55.05,71.85,54.44,71.85,53.36,71.85,55.32,71.85,54.85,71.85,53.91,71.85,53.91,71.85,55.05,71.85,55.05,71.85,55.04,71.85,55.32,71.85,54.78,71.85,54.78,71.85,55.04,71.85,55.05,71.85,55.05,71.85,54.85,71.85,53.91,71.85,54.85,71.85,54.78,71.85,55.04,71.85,55.04,71.85,55.05,71.85,55.32,71.85,55.05,71.85,55.04,71.85,55.04,71.85,54.85,71.85,53.91,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.78,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.85,71.85,55.05,71.85,55.04,71.85,55.05,71.85,54.44,71.85,55.32,71.85,55.05,71.85,54.85,71.85,53.36,71.85,54.78,71.85,55.05,71.85,55.32,71.85,70.44,0,70.44,0,70.44,0,70.44,0, ,7/01/2021,9/30/2021
E0431,RR,QF,OX,55.05,71.85,55.05,71.85,54.44,71.85,53.36,71.85,55.32,71.85,54.85,71.85,53.91,71.85,53.91,71.85,55.05,71.85,55.05,71.85,55.04,71.85,55.32,71.85,54.78,71.85,54.78,71.85,55.04,71.85,55.05,71.85,55.05,71.85,54.85,71.85,53.91,71.85,54.85,71.85,54.78,71.85,55.04,71.85,55.04,71.85,55.05,71.85,55.32,71.85,55.05,71.85,55.04,71.85,55.04,71.85,54.85,71.85,53.91,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.78,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.85,71.85,55.05,71.85,55.04,71.85,55.05,71.85,54.44,71.85,55.32,71.85,55.05,71.85,54.85,71.85,53.36,71.85,54.78,71.85,55.05,71.85,55.32,71.85,70.44,0,70.44,0,70.44,0,70.44,0, ,7/01/2021,9/30/2021
E0433,RR, ,OX,41.61,47.23,41.61,47.23,41.14,47.23,41.76,47.23,43.26,47.23,43.33,47.23,42.59,47.23,42.59,47.23,41.61,47.23,41.61,47.23,42.56,47.23,43.26,47.23,40.61,47.23,40.61,47.23,42.56,47.23,41.61,47.23,41.61,47.23,43.33,47.23,42.59,47.23,43.33,47.23,40.61,47.23,42.56,47.23,42.56,47.23,41.61,47.23,43.26,47.23,41.61,47.23,42.56,47.23,42.56,47.23,43.33,47.23,42.59,47.23,41.14,47.23,41.76,47.23,42.59,47.23,40.61,47.23,41.14,47.23,41.76,47.23,42.59,47.23,43.33,47.23,41.61,47.23,42.56,47.23,41.61,47.23,41.14,47.23,43.26,47.23,41.61,47.23,43.33,47.23,41.76,47.23,40.61,47.23,41.61,47.23,43.26,47.23,45.85,0,45.85,0,45.85,0,45.85,0, ,7/01/2021,9/30/2021
E0433,RR,QB,OX,55.05,71.85,55.05,71.85,54.44,71.85,53.36,71.85,55.32,71.85,54.85,71.85,53.91,71.85,53.91,71.85,55.05,71.85,55.05,71.85,55.04,71.85,55.32,71.85,54.78,71.85,54.78,71.85,55.04,71.85,55.05,71.85,55.05,71.85,54.85,71.85,53.91,71.85,54.85,71.85,54.78,71.85,55.04,71.85,55.04,71.85,55.05,71.85,55.32,71.85,55.05,71.85,55.04,71.85,55.04,71.85,54.85,71.85,53.91,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.78,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.85,71.85,55.05,71.85,55.04,71.85,55.05,71.85,54.44,71.85,55.32,71.85,55.05,71.85,54.85,71.85,53.36,71.85,54.78,71.85,55.05,71.85,55.32,71.85,70.44,0,70.44,0,70.44,0,70.44,0, ,7/01/2021,9/30/2021
E0433,RR,QF,OX,55.05,71.85,55.05,71.85,54.44,71.85,53.36,71.85,55.32,71.85,54.85,71.85,53.91,71.85,53.91,71.85,55.05,71.85,55.05,71.85,55.04,71.85,55.32,71.85,54.78,71.85,54.78,71.85,55.04,71.85,55.05,71.85,55.05,71.85,54.85,71.85,53.91,71.85,54.85,71.85,54.78,71.85,55.04,71.85,55.04,71.85,55.05,71.85,55.32,71.85,55.05,71.85,55.04,71.85,55.04,71.85,54.85,71.85,53.91,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.78,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.85,71.85,55.05,71.85,55.04,71.85,55.05,71.85,54.44,71.85,55.32,71.85,55.05,71.85,54.85,71.85,53.36,71.85,54.78,71.85,55.05,71.85,55.32,71.85,70.44,0,70.44,0,70.44,0,70.44,0, ,7/01/2021,9/30/2021
E0434,RR, ,OX,41.61,47.23,41.61,47.23,41.14,47.23,41.76,47.23,43.26,47.23,43.33,47.23,42.59,47.23,42.59,47.23,41.61,47.23,41.61,47.23,42.56,47.23,43.26,47.23,40.61,47.23,40.61,47.23,42.56,47.23,41.61,47.23,41.61,47.23,43.33,47.23,42.59,47.23,43.33,47.23,40.61,47.23,42.56,47.23,42.56,47.23,41.61,47.23,43.26,47.23,41.61,47.23,42.56,47.23,42.56,47.23,43.33,47.23,42.59,47.23,41.14,47.23,41.76,47.23,42.59,47.23,40.61,47.23,41.14,47.23,41.76,47.23,42.59,47.23,43.33,47.23,41.61,47.23,42.56,47.23,41.61,47.23,41.14,47.23,43.26,47.23,41.61,47.23,43.33,47.23,41.76,47.23,40.61,47.23,41.61,47.23,43.26,47.23,34.91,0,34.91,0,34.91,0,34.91,0, ,7/01/2021,9/30/2021
E0434,RR,QB,OX,55.05,71.85,55.05,71.85,54.44,71.85,53.36,71.85,55.32,71.85,54.85,71.85,53.91,71.85,53.91,71.85,55.05,71.85,55.05,71.85,55.04,71.85,55.32,71.85,54.78,71.85,54.78,71.85,55.04,71.85,55.05,71.85,55.05,71.85,54.85,71.85,53.91,71.85,54.85,71.85,54.78,71.85,55.04,71.85,55.04,71.85,55.05,71.85,55.32,71.85,55.05,71.85,55.04,71.85,55.04,71.85,54.85,71.85,53.91,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.78,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.85,71.85,55.05,71.85,55.04,71.85,55.05,71.85,54.44,71.85,55.32,71.85,55.05,71.85,54.85,71.85,53.36,71.85,54.78,71.85,55.05,71.85,55.32,71.85,70.44,0,70.44,0,70.44,0,70.44,0, ,7/01/2021,9/30/2021
E0434,RR,QF,OX,55.05,71.85,55.05,71.85,54.44,71.85,53.36,71.85,55.32,71.85,54.85,71.85,53.91,71.85,53.91,71.85,55.05,71.85,55.05,71.85,55.04,71.85,55.32,71.85,54.78,71.85,54.78,71.85,55.04,71.85,55.05,71.85,55.05,71.85,54.85,71.85,53.91,71.85,54.85,71.85,54.78,71.85,55.04,71.85,55.04,71.85,55.05,71.85,55.32,71.85,55.05,71.85,55.04,71.85,55.04,71.85,54.85,71.85,53.91,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.78,71.85,54.44,71.85,53.36,71.85,53.91,71.85,54.85,71.85,55.05,71.85,55.04,71.85,55.05,71.85,54.44,71.85,55.32,71.85,55.05,71.85,54.85,71.85,53.36,71.85,54.78,71.85,55.05,71.85,55.32,71.85,70.44,0,70.44,0,70.44,0,70.44,0, ,7/01/2021,9/30/2021
E0439,RR, ,OX,110.09,143.69,110.09,143.69,108.87,143.69,106.72,143.69,110.64,143.69,109.69,143.69,107.81,143.69,107.81,143.69,110.09,143.69,110.09,143.69,110.07,143.69,110.64,143.69,109.56,143.69,109.56,143.69,110.07,143.69,110.09,143.69,110.09,143.69,109.69,143.69,107.81,143.69,109.69,143.69,109.56,143.69,110.07,143.69,110.07,143.69,110.09,143.69,110.64,143.69,110.09,143.69,110.07,143.69,110.07,143.69,109.69,143.69,107.81,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.56,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.69,143.69,110.09,143.69,110.07,143.69,110.09,143.69,108.87,143.69,110.64,143.69,110.09,143.69,109.69,143.69,106.72,143.69,109.56,143.69,110.09,143.69,110.64,143.69,140.88,0,140.88,0,140.88,0,140.88,0, ,7/01/2021,9/30/2021
E0439,RR,QB,OX,110.09,143.69,110.09,143.69,108.87,143.69,106.72,143.69,110.64,143.69,109.69,143.69,107.81,143.69,107.81,143.69,110.09,143.69,110.09,143.69,110.07,143.69,110.64,143.69,109.56,143.69,109.56,143.69,110.07,143.69,110.09,143.69,110.09,143.69,109.69,143.69,107.81,143.69,109.69,143.69,109.56,143.69,110.07,143.69,110.07,143.69,110.09,143.69,110.64,143.69,110.09,143.69,110.07,143.69,110.07,143.69,109.69,143.69,107.81,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.56,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.69,143.69,110.09,143.69,110.07,143.69,110.09,143.69,108.87,143.69,110.64,143.69,110.09,143.69,109.69,143.69,106.72,143.69,109.56,143.69,110.09,143.69,110.64,143.69,140.88,0,140.88,0,140.88,0,140.88,0, ,7/01/2021,9/30/2021
E0439,RR,QF,OX,110.09,143.69,110.09,143.69,108.87,143.69,106.72,143.69,110.64,143.69,109.69,143.69,107.81,143.69,107.81,143.69,110.09,143.69,110.09,143.69,110.07,143.69,110.64,143.69,109.56,143.69,109.56,143.69,110.07,143.69,110.09,143.69,110.09,143.69,109.69,143.69,107.81,143.69,109.69,143.69,109.56,143.69,110.07,143.69,110.07,143.69,110.09,143.69,110.64,143.69,110.09,143.69,110.07,143.69,110.07,143.69,109.69,143.69,107.81,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.56,143.69,108.87,143.69,106.72,143.69,107.81,143.69,109.69,143.69,110.09,143.69,110.07,143.69,110.09,143.69,108.87,143.69,110.64,143.69,110.09,143.69,109.69,143.69,106.72,143.69,109.56,143.69,110.09,143.69,110.64,143.69,140.88,0,140.88,0,140.88,0,140.88,0, ,7/01/2021,9/30/2021
E0441, , ,OX,60.23,68.35,60.23,68.35,59.96,68.35,60.59,68.35,61.44,68.35,58.97,68.35,56.43,68.35,56.43,68.35,60.23,68.35,60.23,68.35,60.65,68.35,61.44,68.35,59.81,68.35,59.81,68.35,60.65,68.35,60.23,68.35,60.23,68.35,58.97,68.35,56.43,68.35,58.97,68.35,59.81,68.35,60.65,68.35,60.65,68.35,60.23,68.35,61.44,68.35,60.23,68.35,60.65,68.35,60.65,68.35,58.97,68.35,56.43,68.35,59.96,68.35,60.59,68.35,56.43,68.35,59.81,68.35,59.96,68.35,60.59,68.35,56.43,68.35,58.97,68.35,60.23,68.35,60.65,68.35,60.23,68.35,59.96,68.35,61.44,68.35,60.23,68.35,58.97,68.35,60.59,68.35,59.81,68.35,60.23,68.35,61.44,68.35,66.75,0,66.75,0,66.75,0,66.75,0, ,7/01/2021,9/30/2021
E0442, , ,OX,60.37,68.62,60.37,68.62,60.1,68.62,60.72,68.62,61.58,68.62,59.11,68.62,56.56,68.62,56.56,68.62,60.37,68.62,60.37,68.62,60.79,68.62,61.58,68.62,59.94,68.62,59.94,68.62,60.79,68.62,60.37,68.62,60.37,68.62,59.11,68.62,56.56,68.62,59.11,68.62,59.94,68.62,60.79,68.62,60.79,68.62,60.37,68.62,61.58,68.62,60.37,68.62,60.79,68.62,60.79,68.62,59.11,68.62,56.56,68.62,60.1,68.62,60.72,68.62,56.56,68.62,59.94,68.62,60.1,68.62,60.72,68.62,56.56,68.62,59.11,68.62,60.37,68.62,60.79,68.62,60.37,68.62,60.1,68.62,61.58,68.62,60.37,68.62,59.11,68.62,60.72,68.62,59.94,68.62,60.37,68.62,61.58,68.62,67.02,0,67.02,0,67.02,0,67.02,0, ,7/01/2021,9/30/2021
E0443, , ,OX,56.39,65.61,56.39,65.61,56.16,65.61,55.07,65.61,57.6,65.61,55.99,65.61,53.22,65.61,53.22,65.61,56.39,65.61,56.39,65.61,57.44,65.61,57.6,65.61,55.67,65.61,55.67,65.61,57.44,65.61,56.39,65.61,56.39,65.61,55.99,65.61,53.22,65.61,55.99,65.61,55.67,65.61,57.44,65.61,57.44,65.61,56.39,65.61,57.6,65.61,56.39,65.61,57.44,65.61,57.44,65.61,55.99,65.61,53.22,65.61,56.16,65.61,55.07,65.61,53.22,65.61,55.67,65.61,56.16,65.61,55.07,65.61,53.22,65.61,55.99,65.61,56.39,65.61,57.44,65.61,56.39,65.61,56.16,65.61,57.6,65.61,56.39,65.61,55.99,65.61,55.07,65.61,55.67,65.61,56.39,65.61,57.6,65.61,64.19,0,64.19,0,64.19,0,64.19,0, ,7/01/2021,9/30/2021
E0444, , ,OX,56.39,65.61,56.39,65.61,56.16,65.61,55.07,65.61,57.6,65.61,55.99,65.61,53.22,65.61,53.22,65.61,56.39,65.61,56.39,65.61,57.44,65.61,57.6,65.61,55.67,65.61,55.67,65.61,57.44,65.61,56.39,65.61,56.39,65.61,55.99,65.61,53.22,65.61,55.99,65.61,55.67,65.61,57.44,65.61,57.44,65.61,56.39,65.61,57.6,65.61,56.39,65.61,57.44,65.61,57.44,65.61,55.99,65.61,53.22,65.61,56.16,65.61,55.07,65.61,53.22,65.61,55.67,65.61,56.16,65.61,55.07,65.61,53.22,65.61,55.99,65.61,56.39,65.61,57.44,65.61,56.39,65.61,56.16,65.61,57.6,65.61,56.39,65.61,55.99,65.61,55.07,65.61,55.67,65.61,56.39,65.61,57.6,65.61,64.19,0,64.19,0,64.19,0,64.19,0, ,7/01/2021,9/30/2021
E0447, , ,OX,84.59,98.42,84.59,98.42,84.24,98.42,82.61,98.42,86.39,98.42,83.98,98.42,79.83,98.42,79.83,98.42,84.59,98.42,84.59,98.42,86.16,98.42,86.39,98.42,83.51,98.42,83.51,98.42,86.16,98.42,84.59,98.42,84.59,98.42,83.98,98.42,79.83,98.42,83.98,98.42,83.51,98.42,86.16,98.42,86.16,98.42,84.59,98.42,86.39,98.42,84.59,98.42,86.16,98.42,86.16,98.42,83.98,98.42,79.83,98.42,84.24,98.42,82.61,98.42,79.83,98.42,83.51,98.42,84.24,98.42,82.61,98.42,79.83,98.42,83.98,98.42,84.59,98.42,86.16,98.42,84.59,98.42,84.24,98.42,86.39,98.42,84.59,98.42,83.98,98.42,82.61,98.42,83.51,98.42,84.59,98.42,86.39,98.42,96.28,0,96.28,0,96.28,0,96.28,0, ,7/01/2021,9/30/2021
E0462,RR, ,CR,304.17,0,297.63,0,288.34,0,339.22,0,301.01,0,313.39,0,339.22,0,339.22,0,339.22,0,339.22,0,339.22,0,339.22,0,339.22,0,320.63,0,339.22,0,339.22,0,288.34,0,288.34,0,339.22,0,288.34,0,288.34,0,297.22,0,339.22,0,339.22,0,288.34,0,322.11,0,311.45,0,339.22,0,288.34,0,339.22,0,339.22,0,339.22,0,288.34,0,335.36,0,339.22,0,339.22,0,339.22,0,288.34,0,304.83,0,339.22,0,339.22,0,339.22,0,339.22,0,339.22,0,288.34,0,288.34,0,300.57,0,320.06,0,338.18,0,436.47,0,466.72,0,227.28,0,288.34,0, ,7/01/2021,9/30/2021
E0465,RR, ,FS,944.46,0,1084.64,0,1111.13,0,944.46,0,944.46,0,1111.13,0,1000.49,0,1111.13,0,1111.13,0,1111.13,0,1055.06,0,952.9,0,1111.13,0,944.46,0,1069.81,0,1111.13,0,974.42,0,1111.13,0,944.46,0,1033.32,0,1111.13,0,1111.13,0,1035.78,0,944.46,0,970.58,0,1111.13,0,1111.13,0,1073.83,0,1111.13,0,1111.13,0,1071.1,0,1111.13,0,1111.13,0,1111.13,0,1111.13,0,1088.93,0,1111.13,0,1111.13,0,944.46,0,1111.13,0,1111.13,0,1111.13,0,1020.39,0,1109.94,0,975,0,944.46,0,950.97,0,1111.13,0,1111.13,0,909.7,0,972.76,0,1847.38,0,1111.13,0, ,7/01/2021,9/30/2021
